model,prompt_version,actual_score,predicted_score,raw_response
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.5,1.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.483333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.75,2.0,2
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,4.5,4.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.75,1.5,1.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.783333333,2.0,2
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,2.0,2
arcee-ai/trinity-large-preview:free,v1_baseline,0.716666667,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.333333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.583333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.383333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,3.5,3.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.25,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.683333333,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.683333333,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.383333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.45,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.35,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.793333333,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.9366666666666666,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.49,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.783333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.543333333,2.0,2
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.683333333,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.816666667,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.683333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.316666667,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,2.0,2
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.493333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.5499999999999999,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.8266666666666667,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.683333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.873333333,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.783333333,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.75,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.716666667,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.75,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.573333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,2.0,2
arcee-ai/trinity-large-preview:free,v1_baseline,0.876666667,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.783333333,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.3499999999999999,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,3.5,3.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.75,1.5,1.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.65,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.483333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,1.5,1.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.816666667,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.683333333,1.5,1.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.783333333,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.3166666666666666,2.0,2
arcee-ai/trinity-large-preview:free,v1_baseline,0.85,1.5,1.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.783333333,2.5,2.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.55,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.506666667,1.5,1.5
arcee-ai/trinity-large-preview:free,v1_baseline,0.55,1.0,1
arcee-ai/trinity-large-preview:free,v1_baseline,0.7600000000000001,2.0,2
